id_restaurant,rest_name,rest_url,rest_phone,rest_address,rest_reviews_number,rest_rating (from 1 to 5: the greater the value, the better the rating; -1: no rating)
12,Giusto,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189209-Reviews-Giusto-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-57-73,"Ленина, 5, Липецк 398050 Россия",54,4
13,Амстердам,https://www.tripadvisor.ru/Restaurant_Review-g798123-d2658937-Reviews-Amsterdam-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-26-65,"ул. Пролетарская, д. 13, Липецк 398050 Россия",104,4
14,GM cafe,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189207-Reviews-GM_cafe-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 930 014-23-23,"Первомайская, 35, Липецк 398059 Россия",87,4
15,Трибуна,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189368-Reviews-Tribuna-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 271-17-08,"Скороходова, 1а, Липецк 398001 Россия",72,4
16,Шоколад,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189400-Reviews-Shokolad-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 247-00-57,"Плеханова площадь, 1, Липецк 398050 Россия",60,4
17,Шульц,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6755124-Reviews-Schultz-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-29-05,"ул.Неделина, д.15В, Липецк 398059 Россия",45,4.5
18,Пицца на Первомайской,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189332-Reviews-Pizza_Na_Pervomaiskoi-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 222-17-85,"Первомайская, 78, Липецк 398001 Россия",59,4
19,Де'Бассус,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8345966-Reviews-De_Bassus-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 238-80-35,"Катукова, 23, Липецк 398036 Россия",42,3.5
20,De'Bassus,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189186-Reviews-De_Bassus-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 225-01-66,"Победы площадь, 8, Липецк 398001 Россия",96,3.5
21,Хмель Хаус,https://www.tripadvisor.ru/Restaurant_Review-g798123-d13314943-Reviews-Khmel_Khaus-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 980 263-55-43,"ул. Максима Горького д. 7а, Липецк 398001 Россия",27,4
22,Буфет,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189239-Reviews-Buffet-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-11-23,"Плеханова, 61, Липецк 398050 Россия",42,3.5
23,Ресторан Библиотека №1,https://www.tripadvisor.ru/Restaurant_Review-g798123-d10024443-Reviews-Restaurant_Biblioteka_1-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 228-08-88,"ул. Кузнечная, д Б, Липецк 398050 Россия",64,3.5
24,Штольня,https://www.tripadvisor.ru/Restaurant_Review-g798123-d14787058-Reviews-Shtolnya-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 257-98-10,"ул.Петра Смородина 9А, Липецк 398046 Россия",12,4
25,Рыбы Бы,https://www.tripadvisor.ru/Restaurant_Review-g798123-d17815949-Reviews-Ryby_By-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 910 739-01-12,"Фрунзе, 1, Липецк 398001 Россия",49,3.5
26,"O,Bistro!",https://www.tripadvisor.ru/Restaurant_Review-g798123-d8596971-Reviews-O_Bistro-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 250-60-06,"Кузнечный переулок, дом 20, Липецк 398002 Россия",35,3.5
27,Дружба Bar&Kitchen,https://www.tripadvisor.ru/Restaurant_Review-g798123-d22885221-Reviews-Druzhba_Bar_Kitchen-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 910 356-59-21,"Октябрьская улица, 53, Липецк 398059 Россия",12,4
28,Бройбауер,https://www.tripadvisor.ru/Restaurant_Review-g798123-d15700521-Reviews-Braubauer-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 237-01-11,"Бехтеева, 1, Липецк 398070 Россия",6,4.5
29,Кинза,https://www.tripadvisor.ru/Restaurant_Review-g798123-d13140650-Reviews-Kinza-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 224-31-43,"ул. Фрунзе, д. 43, Липецк 398059 Россия",13,4
30,Халиф,https://www.tripadvisor.ru/Restaurant_Review-g798123-d17811677-Reviews-Khalif-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-55-00,"Советская, 64, Липецк 398001 Россия",29,4
31,ОПЕНХАУС,https://www.tripadvisor.ru/Restaurant_Review-g798123-d13074562-Reviews-OPENHOUSE-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-30-00,"ул. 50 лет НЛМК, д.6 Б, Липецк 398059 Россия",26,3.5
32,BUCHO Wine Bar,https://www.tripadvisor.ru/Restaurant_Review-g798123-d19126534-Reviews-BUCHO_Wine_Bar-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 224-21-02,"Зегеля, 2, Липецк 398050 Россия",10,4
33,Корчма Гоголь на Первомайской,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7023833-Reviews-Korchma_Gogol_na_Pervomaiskoi-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-05-30,"ул. Первомайская, 78, Липецк 398001 Россия",18,4
34,Вобла,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8351230-Reviews-Vobla-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 290-04-10,"ул.Меркулова 10А, Липецк 398046 Россия",17,4
35,Маренго,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189303-Reviews-Marengo-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 246-07-53,"Водопьянова, 17, Липецк 398046 Россия",25,4
36,кафе Jazz,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7011533-Reviews-Cafe_Jazz-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-37-67,"ул. Интернациональная, 6, Липецк 398050 Россия",55,3.5
37,Золотая Арба,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189264-Reviews-Zolotaya_Arba-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-72-63,"Ленина, 11, Липецк 398050 Россия",22,4
38,Дом 27,https://www.tripadvisor.ru/Restaurant_Review-g798123-d15606622-Reviews-Dom_27-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 290-51-10,"Карла Маркса, 27, Липецк 398059 Россия",4,5
39,Карлсон Кафе на Высоте,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189203-Reviews-Karlson_Kafe_Na_Vysote-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 290-09-78,"Ленина, 11 8th Floor, Липецк 398050 Россия",26,4
40,Тайга Ресторан-Пивоварня,https://www.tripadvisor.ru/Restaurant_Review-g798123-d13324334-Reviews-Taiga_Restaurant-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 256-67-77,"Минская, 49 а, Липецк 398902 Россия",36,3.5
41,Автосуши,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7277074-Reviews-Autosushi-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-55-00,"ул. Интернациональная, д. 41, Липецк 398050 Россия",11,4
42,Braubauer,https://www.tripadvisor.ru/Restaurant_Review-g798123-d12639584-Reviews-Braubauer-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 250-66-05,"ул. Советская, 30, Липецк 398001 Россия",24,3.5
43,Хуторок,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189390-Reviews-Khutorok-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 234-55-95,"Гагарина, 101, Липецк 398016 Россия",25,3.5
44,МагеллаН,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189295-Reviews-MagellaN-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 249-60-12,"Московская, 75А, Липецк 398070 Россия",6,5
45,Дольче,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8515382-Reviews-Dolche-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 237-89-30,"ул. Ворошилова, д. 3 вход с улицы Первомайская, Липецк 398001 Россия",4,5
46,Mr. Money,https://www.tripadvisor.ru/Restaurant_Review-g798123-d11807640-Reviews-Mr_Stefan_Braun-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 920 541-42-42,"ул. Космонавтов, 54Б, Липецк 398032 Россия",24,4
47,Форвард,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189379-Reviews-Forward-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 277-03-71,"Советская, 25, Липецк 398001 Россия",11,4
48,Баскин Роббинс,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189234-Reviews-Baskin_Robbins-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 272-00-62,"Зегеля, 23а, Липецк 398050 Россия",14,4
49,Пицца Итальяна,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189333-Reviews-Pizza_Italyana-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 235-36-34,"Космонавтов, 5/5, Липецк 398002 Россия",13,4
50,Бискафе,https://www.tripadvisor.ru/Restaurant_Review-g798123-d17847751-Reviews-Biscafe-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 250-71-52,"ул. Студёновская, 123, Липецк 398007 Россия",5,4
51,Ресторан Роял,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8703047-Reviews-Royal_Restaurant_Lipetsk-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 276-55-55,"Ул. Подгоренская, 14, Липецк 398532 Россия",12,4
52,Rob Roy Bar,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7625030-Reviews-Rob_Roy_Bar-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 271-13-55,"ул. Ворошилова, 1, Липецк 398001 Россия",31,3.5
53,Час-Пик,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189389-Reviews-Chas_Pik-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 222-29-54,"Фрунзе, 5, Липецк 398059 Россия",29,3.5
54,Сыр,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189355-Reviews-Syr-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 241-19-75,"60 лет СССР проспект, 37, Липецк 398036 Россия",12,4
55,Ресторан Калипсо,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189272-Reviews-Kalipso-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 905 043-25-60,"Советская, 7, Липецк 398001 Россия",18,3.5
56,Фауст,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189384-Reviews-Faust-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-53-70,"Карла Маркса, 5, Липецк 398001 Россия",30,3.5
57,Ной,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7213342-Reviews-Noah-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 225-01-64,"Неделина, 14Д, Липецк 398036 Россия",7,4
58,Сладкая Фея,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189356-Reviews-Sladkaya_Feya-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 903 866-72-84,"Кривенкова, 23, Липецк 398036 Россия",8,4.5
59,Траттория,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189373-Reviews-Trattoria-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-44-60,"Плеханова, 37/6, Липецк 398050 Россия",14,3.5
60,Дорадо,https://www.tripadvisor.ru/Restaurant_Review-g798123-d14184083-Reviews-Dorado-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-28-23,"ул.М.Горького 7 Здание Хмель Хаус, Липецк 398001 Россия",7,4
61,Ташир,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7213345-Reviews-Tashir-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 222-27-52,"Советская, 4, Липецк 398001 Россия",13,3.5
62,Петергофъ,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189325-Reviews-Petergof-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-35-37,"Фрунзе, 7а, Липецк 398059 Россия",21,4
63,Лобби Бар,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8347650-Reviews-Lobbi_Bar-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"Театральная площадь, 3, Липецк 398001 Россия",3,5
64,Суши WOK,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7834389-Reviews-Sushi_WOK-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-12-45,"ул. Желябова, 16, Липецк 398050 Россия",12,4
65,Томато,https://www.tripadvisor.ru/Restaurant_Review-g798123-d16696691-Reviews-Tomato-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 256-30-41,"Космонавтов,  104, Липецк 398002 Россия",4,4
66,Борода Бар,https://www.tripadvisor.ru/Restaurant_Review-g798123-d12877536-Reviews-Boroda_Bar-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 271-56-12,"ул. Космонавтов, 8, Липецк 398016 Россия",18,3.5
67,Кафе Хаус,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189276-Reviews-Cafe_House-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 271-70-19,"Первомайская, 121, Липецк 398059 Россия",4,4.5
68,"Ресторан китайской кухни ""Хуан Хэ""",https://www.tripadvisor.ru/Restaurant_Review-g798123-d11671934-Reviews-Restaurant_of_Chinese_Cuisine_Khuan_Khe-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-00-53,"пр. Победы, 8, Липецк 398001 Россия",2,5
69,Ботаник,https://www.tripadvisor.ru/Restaurant_Review-g798123-d17338298-Reviews-Botanik-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 224-35-43,"Первомайская, 80, Липецк 398059 Россия",2,4.5
70,Лоренцо,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189421-Reviews-Lorentso-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 272-25-43,"Плеханова, 59, Липецк 398050 Россия",5,4
71,Фарфор,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8519289-Reviews-Farfor-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 237-04-37,"8 Марта, 9, Липецк 398001 Россия",10,3.5
72,Creme,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8507867-Reviews-Creme-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 223-33-33,"ул. Советская, д. 66б, Липецк 398001 Россия",25,3.5
73,Макдоналдс,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189307-Reviews-McDonald_s-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 245-16-55,"60 лет СССР проспект, 22, Липецк 398046 Россия",16,3.5
74,Час-Пик-Молл,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189387-Reviews-Chas_Pik_Moll-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 251-76-40,"Терешковой, 35Б, Липецк 398002 Россия",6,4
75,"Кафе ""Шафран""",https://www.tripadvisor.ru/Restaurant_Review-g798123-d12094204-Reviews-Shafran_Cafe-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 278-17-66,"пр. Победы, 70Б, Липецк 398001 Россия",6,4
76,Евразия,https://www.tripadvisor.ru/Restaurant_Review-g798123-d2710570-Reviews-Eurasia-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-15-33,"ул. Ленина, 11 398050, Липецк Россия",35,3.5
77,Kuznechnaya Hall,https://www.tripadvisor.ru/Restaurant_Review-g798123-d7776912-Reviews-Kuznechnaya_Hall-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 952 598-74-26,"ул. Кузнечная, 4Б, Липецк 398050 Россия",4,4.5
78,Magic Box,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8756785-Reviews-Magic_Box-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 930 014-25-82,"ул. Папина, 3б, Липецк 398058 Россия",2,5
79,Solovey,https://www.tripadvisor.ru/Restaurant_Review-g798123-d21290992-Reviews-Solovey-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 255-33-88,"Московская 75А, Липецк 398042 Россия",1,5
80,Dream Bar,https://www.tripadvisor.ru/Restaurant_Review-g798123-d23460468-Reviews-Dream_Bar-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 969 972-57-85,"Ленина,  11, Липецк 398050 Россия",1,5
81,Манты Карла,https://www.tripadvisor.ru/Restaurant_Review-g798123-d23416503-Reviews-Manty_Karla-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 905 685-14-14,"Неделина, 14Г, Липецк 398059 Россия",1,5
82,Карусель,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189267-Reviews-Karusel-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-33-08,"Гагарина, 35Б, Липецк 398002 Россия",4,4
83,Coffee On Your Way,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189198-Reviews-Coffee_on_Your_Way-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"60 лет СССР проспект, 34, Липецк 398046 Россия",1,5
84,Лето Клаб,https://www.tripadvisor.ru/Restaurant_Review-g798123-d9566238-Reviews-Leto_Club-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 272-28-88,"ул. Кузнечная, 4Б, Липецк 398050 Россия",7,3.5
85,Шашлычный двор,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189394-Reviews-Shashlychny_Dvor-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 241-37-74,"60 лет СССР проспект, 37, Липецк 398036 Россия",4,4
86,Коммерсант,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189775-Reviews-Kommersant-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 251-57-12,"Плеханова площадь, 3, Липецк 398050 Россия",2,5
87,Компот,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189280-Reviews-Kompot-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 225-08-83,"Советская, 66 лит Б5, Липецк 398001 Россия",3,4.5
88,Saxar,https://www.tripadvisor.ru/Restaurant_Review-g798123-d16695807-Reviews-Saxar-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 239-60-12,"ул. Московская, 75А, Липецк 398055 Россия",1,5
89,Тарантино,https://www.tripadvisor.ru/Restaurant_Review-g798123-d19436272-Reviews-Tarantino-Lipetsk_Lipetsk_Oblast_Central_Russia.html,90-49-02,"Бехтеева, 10, Липецк 398070 Россия",1,5
90,BRICS,https://www.tripadvisor.ru/Restaurant_Review-g798123-d13173840-Reviews-BRICS-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-74-44,"ул. Ленина, 11, Липецк 398050 Россия",3,4
91,На Дворянской,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189323-Reviews-Na_Dvoryanskoi-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-71-41,"Ленина, 36, Липецк 398020 Россия",7,3.5
92,Старая мельница,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189358-Reviews-Staraya_Melnitsa-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 246-50-76,"Победы проспект, 93Б, Липецк 398046 Россия",3,4
93,Компот,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189279-Reviews-Kompot-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"Интернациональная, 21, Липецк 398050 Россия",7,3.5
94,Кафе Челси,https://www.tripadvisor.ru/Restaurant_Review-g798123-d10478019-Reviews-Cafe_Chelsi-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"ул. Петра Смородина, 13 A, Липецк 398046 Россия",11,3.5
95,Токио,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189380-Reviews-Tokyo-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 278-90-16,"Петра Смородина, 13а, Липецк 398046 Россия",5,4
96,RusBurger,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189199-Reviews-RusBurger-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-74-44,"Ленина, 11, Липецк 398050 Россия",11,3.5
97,СССР,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8350979-Reviews-Ussr-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"Терешковой, 20, Липецк 398043 Россия",2,4.5
98,Пенный Дворик,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8348625-Reviews-Penny_Dvorik-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 234-46-02,"Терешковой, 3/1, Липецк 398016 Россия",2,4.5
99,KFC,https://www.tripadvisor.ru/Restaurant_Review-g798123-d14653350-Reviews-KFC-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 237-03-23,"ул.Космонавтов 98 ТЦ Ноябрьский, Липецк 398002 Россия",1,5
100,Токио,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189367-Reviews-Tokyo-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 915 551-99-89,"Советская, 66, Липецк 398001 Россия",2,4.5
101,Трактир на Базарной,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189371-Reviews-Traktir_Na_Bazarnoi-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 222-29-52,"Ворошилова, 1, Липецк 398001 Россия",3,4
102,Гурманофф,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189576-Reviews-Gurmanoff-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 274-44-36,"Первомайская, 59, Липецк 398059 Россия",3,4
103,Пивная таверна,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6744695-Reviews-Pivnaya_Taverna-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"Ворошилова, 3, Липецк 398001 Россия",2,4.5
104,Cafe Fresh Club,https://www.tripadvisor.ru/Restaurant_Review-g798123-d12875018-Reviews-Cafe_Fresh_Club-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 237-03-50,"ул. Гагарина, 45A, Липецк 398002 Россия",2,4
105,Пивной трактир,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6744764-Reviews-Pivnoi_Traktir-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 920 249-34-94,"Максима Горького, 26, Липецк 398001 Россия",2,4.5
106,Классик,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189273-Reviews-Klassik-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 227-74-35,"Ленина, 23, Липецк 398050 Россия",1,5
107,Гамбринус,https://www.tripadvisor.ru/Restaurant_Review-g798123-d8346579-Reviews-Gambrinus-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"Победы проспект, 8, Липецк 398024 Россия",1,5
108,Гриль-Хаус,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189244-Reviews-Grill_House-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 236-44-55,"Студёновская, 124а, Липецк 398007 Россия",2,4.5
109,Буфетъ,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189240-Reviews-Buffet-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 222-21-00,"Петра Великого площадь, 1, Липецк 398001 Россия",7,3.5
110,Coffee BLACK PEP,https://www.tripadvisor.ru/Restaurant_Review-g798123-d19271677-Reviews-Coffee_BLACK_PEP-Lipetsk_Lipetsk_Oblast_Central_Russia.html,,"Льва Толстого,  1, Липецк 398001 Россия",1,4
111,Мерланг,https://www.tripadvisor.ru/Restaurant_Review-g798123-d6189310-Reviews-Merlang-Lipetsk_Lipetsk_Oblast_Central_Russia.html,+7 474 242-72-98,"Катукова, 27а, Липецк 398036 Россия",5,3.5
