id_comment,id_restaurant,comment_text,comment_usability, comment_date
16,0,"Сюда приходим чтобы отведать настоящего пива. Дороговато, но того стоит, тем более что кухня тоже на уровне! Традиционно начинаем с жареного сыра с обжаренным хлебом, обязательно креветки, остальное -по ситуации. Ну и надо следить за афишами - можно послушать достойных исполнителей. ",2,28 июля 2019 г.
17,0,В очередной раз на обед и опять по стандарту.Бульон с яйцом - 100Цезарь с курицей - 170Чай - 40Два тоста с маслом бесплатно.Прям отлично,2,28 июня 2019 г.
18,0,"Посещали это заведение с коллегами (немцами) сидели в отдельном зале. Обслуживание отличное, кухня шикарная, про пиво не скажу не пил(за рулем) но немцам понравилось). Отличное место выпить,закусить и поболеть за любимую команду.",2,8 мая 2019 г.
19,0,"Вкусно, цена чуть завышена, обслуживание хорошее, а общем не плохо - рекомендую для посещения, лучше бронировать заранее",2,28 марта 2019 г.
20,0,"Как всегда на хорошем уровне обслуживание, кухня. Очень нравится стилистика заведения. В случае замечаний по блюду, замену делают без проблем. Несколько смутила подача коктейля Гинесс+Бейлис (не помню точное название). Смысл следующий: приносят бокал пива и шот ликера, ставят на стол и надо резко опустить шот в бокал и далее наслаждаться напитком. По моему мнению не очень гигиечно - шот, который был на подносе и столе опускать в бокал и потом пить.",2,19 марта 2019 г.
21,0,"Хороший паб, выбор сидров отличный, пиво есть) ну и как бы все. Обстановка понравилась, была живая музыка. Еда нормальная, как закуска к пиву хорошая. Официантка странная, может так в заведении положено конечно, вынести весь заказ от закусок до десерта сразу на маленький стол для двоих и ещё у нас спрашивать , куда ставить)) Вывод :есть заведения и поинтереснее в Липецке и еда вкуснее и обслуживание есть где-то",0,12 марта 2019 г.
22,0,"Пожалуй, я посетил как минимум 4 подобный паба в стране. Они практически одинаковы. Еда средняя и «без души», специально чтобы не замечать ее качество при большом излиянии. 5 видов банального пива в век крафта уже недопустимая роскошь. Концепцию пора менять. Официанты тоже не нужны, можно с таким же успехом забирать на стойке, тк разницы никакой не будет. Место подойдет для скучающих перед отъездом/отлетом. ",2,5 марта 2019 г.
23,0,"Сервис на 5+. Оч рекомендую стейк, не из мраморной (хотя он вероятно тоже вкусный) я закпзал из обычной говядины, медиум ре... Остался очень доволен. ",0,2 марта 2019 г.
24,0,"Заведение, в которое не стыдно пригласить друзей!Интерьер в ирландском стиле, с кучей соответствующей атрибутики! Вкусное пиво, закуски. Рекомендую здешнее блюдо ""Пастуший пирог"" - очень вкусное сытное. Вежливые и, что в наше время редкость, очень шустрые официанты. По выходным бывают программы с живой музыкой местных кавер -исполнителей. Ценник немного завышен! В остальном - всё норм!!! Рекомендую!!!",0,17 декабря 2018 г.
25,0,"Ирландский паб ""Dublin ""спрятан от глаз на второстепенной дороге, на улице Коммунальной, но не смотря на это пользуется не малой популярностью. Заведение действительно достойное, пиво вкусное, персонал внимательный, меню с приемлемым ценником. Для встречи компанией друзей вполне подходящее место.",1,16 декабря 2018 г.
26,0,"Баром назвать это место нельзя. Пиво где?? Все хорошее пиво в банках и бутылках!! Закуска пивная сплошь свинячая. Нет отдельно хороших орешков, чипсов, сыра. Все в дебильных комплектах, жирное...Зато Сидра и Перри полно...Десерты - фигня полная. Яблочный пай недопекли. Сделал замечание, сказал - забирайте. Унесли, но в счет включили.В общем, обнаглевшее заведение. Не ходите, не надо их поощрять...",4,10 декабря 2018 г.
27,0,Зашел пообедать на бизнес ланч.Взял:Бульон с яйцом - 100Паста карбонара - 200Чай - 50Порции большие. Принесли бесплатно 2 тоста из белого хлеба с вкусным маслом с травами.Отлично пообедал и всего за 350 рублей.,1,21 ноября 2018 г.
28,0,"Стильный ресторан, чувствуется внимание к качеству блюд, к обслуживанию,...Понравился и супчик протёртый, и мясо на гриле....Десерт вкусный, наелись до отвала.И компания весёлая с пивом....",1,15 октября 2018 г.
29,0,"Неплохой паб в типичном «ирландском» стиле, неплохой выбор бутылочного сидра с туманного Альбиона, Классического испанского сидра, например, нет.Отдельная история со стойками...брал стейк около ~800₽. Просил прожарку medium rare, принесли medium. Коллега просил medium - принесли well done. Так и само мясо перемороженное, поэтому на вкус как резина, что очень печально. Но персонал приветливый и пиво есть))) правда ценник для Липецка как то высоковат",5,7 октября 2018 г.
30,0,"Да, типичный паб в ирландском стиле, но довольно добротный. Цены для Липецка, вероятно, не самые маленькие, но относительно Москвы тут немного дешевле. Были здесь накануне праздника сидра, поэтому их выбор был впечатляющим. Из минусов - паю находится в подвале. ",0,20 сентября 2018 г.
31,0,"Вполне себе приличный паб с аутентичной атмосферой. были с коллегами по работе, обедали. Пиво конечно на 5сбольшим плюсом, а вот по кухне...ну немного не моё все же.-)) хотя для паба с пивным меню все отлично.-) если вам непринужденно провести вечер с друзьями под пиво и легкую пивную закуску то вам сюда. С более сложными блюдами нам немного не повезло.",0,28 августа 2018 г.
32,0,"Неплохое заведение , хорошее пиво , вкусная еда , но цены довольно высокие для данной местности. Хорошее обслуживание , нам помогли с выбором и посоветовали ""фирменное блюдо"" . Вкусные креветки ( соус очень хорош ) , картошка фри хрустящая и горячая , пиво вкусное . Ко всем блюдам приносят влажные салфетки , это очень здорово. ",0,28 августа 2018 г.
33,0,"Отличная живая музыка, вкусные стейки, выбор пива не большой, но то что было было вкусным и свежим. Зато большой выбор сидра. Хорошее обслуживание.",0,26 августа 2018 г.
34,0,"Были с другом в будний день вечером.Изначально мы были единственными гостями, что несколько смутило.Но, к нашему счастью, ни к кухне, ни к ассортименту пива никаких претензий нет. Также, как и к сервису. Единственное, стоимость по меркам Липецка выше среднего, я бы сказал, как в Москве.",0,23 августа 2018 г.
35,0,"Говядину здесь готовить не умеют, так же как и запекать картофель. Овощи на гриле, вместо картофеля, нельзя заказать с мясным блюдом. Очень странно...",3,8 августа 2018 г.
36,0,"Непонимаю людей, ставящих 5ки. Очень маленький выбор закусок к пиву, даже гренок нет. Набор «Леприкон», который представляет из себя два куска сыра, колбасы и соломку, любое уважающее себя заведение принесёт в качестве комплимента, а не будет брать 300 рублей. Отдельно хочу отметить мидии, которые принесли не в кастрюле, а на тарелке, в количестве 6 штук (!). Тёмного пива всего два вида. Откуда такой высокий рейтинг? Делайте выводы.",2,3 августа 2018 г.
37,0,"Стилизованный под ирландский паб, приятный интерьер. Заказали рыбацкий пирог, жаренные креветки, чесночный хлеб - все очень вкусно. Богатый выбор сидров, попробовала пару видов - мне понравилось. А вот выбор пива мог бы быть и больше, в добавок не все было в наличии - для паба странновато. Цены выше среднего. Официантки достаточно суровые и могут подзабыть заказ, нам так и не принесли одну позицию. Но в целом приятное место. Да, и почему-то мало народу в пятницу вечер, мы были удивлены.",1,22 июля 2018 г.
38,0,"Оказавшись в Липецке в день рождения, выбрал это место для вечерних посиделок и не прогадал. Отличная кухня, отличное обслуживание, отличная атмосфера, низкие цены. Все как надо",0,19 июля 2018 г.
39,0,"Были с мужем в будний день , когда был футбольный матч , занято было 2 столика только. В целом отличное заведение , порции большие , но и ценник не слабый . Вкусные коктейли сделал бармен . Еще бы пришла однозначно ! ",0,4 июля 2018 г.
40,0,"Мужу захотелось креветок, решили сходить в Дублин.Креветки там подают всегда почему то переперчёными, видимо в расчёте на пиво, я заказала себе сэндвич. В заведении играла какая-то группа, в принципе нормально, но не лучшее заведение города.",0,2 июля 2018 г.
41,0,"Атмосфера хорошая. Особенно нравится, когда есть живая музыка. Любимое заведение, рекомендую. Правда цены кусаются.",1,25 мая 2018 г.
42,0,"Любителям европейского бара. Хорошая еда и напитки. Живая музыка, все как в Европе проверьте сами. Главное забронируйте ",1,11 апреля 2018 г.
43,0,"Была в Липецке проездом, очень хотелось поужинать мясом, по рекомендациям сайта выбрала это заведение. Место со стандартным качественным дизайном паба, средним ценником. В связи с Футболом в заведении были португальцы. Заказала стейк и фреш. Фреш за 150 р. достаточно приличный, немного разбавлен. Стейк я просила прожарки Medium well, в итоге принесли мало того, что пережаренный, ещё и подгоревшим. За 880р это очень печально.В остальном, персонал приятный, атмосфера тоже. ",2,8 апреля 2018 г.
44,0,"Широкий выбор закусок. Вкусное пиво. Будний день, обслуживали хорошо. Говорят по выходным живая музыка. Показалось дороговато..",0,6 апреля 2018 г.
45,0,"На мой взгляд Ирландский паб Dublin, одно из самых достойных заведений нашего города. Возможно и есть некоторые недочеты по кухне, но это Паб - а пиво тут ""ПИВО"" с большой буквы!.. к персоналу никаких претензий - все на отлично - быстро, четко, доброжелательно и тактично (по крайней мере со мной).",2,6 марта 2018 г.
46,0,"посетили Даблин с мужем и подругой. Кухня очень понравилась- стейк ,креветки,пиво -все вкусно. Сервис на высоте. Мы замечательно провели время, в том числе и благодаря живой музыке (группа из Тамбова). Уходить не хотелось:))",1,3 марта 2018 г.
47,0,"Пришли попить вкусного пива в Дублин, все рекомендуют в Липецке как самый хороший паб. После подачи блюд поняли может для Липецка и самый хороший, но с питерским и рядом не стоял. Все заказанное было настолько пережаренно на 10 кратно использованном масле, что есть такое не очень то захотела бы еще раз. А пиво, да самое лучшее.",0,3 марта 2018 г.
48,0,"Находясь в командировке заходил поужинать в данное заведение, обычно свой выбор делаю по отзывам с TripAdvisor. Первый шок был от того что официант который встретил и принял заказ на пиво и салат, а по остольному подойдёт попозже (после изучения мною меню) просто исчез и появился уже только со счётам в конце моего прибывания. Второй раз меня ввели в шок когда втооому официанту было заказано по его же рекомендации медальоны из телятины, а мне принесли не понятную говядину с ужасным запахом, на просьбу приглосить повара подошел администратор и сказал, что у них повара не выходят к посетителям, на моё предложение попробовать данное блюдо, она взяла вилку и просто притронувшись к данному сказала, что извиняется и разберёться с поваром... как итог испорченное настроение и вечер.",3,21 февраля 2018 г.
49,0,"Провел вечер с семьей в этом пабе. Пиво хорошее, салаты и десерты тоже на высоте. Попробовал королевские креветки: качественно и необычно! Ценник выше среднего. Must be!",0,4 февраля 2018 г.
50,0,"Крутое место!Обслуживание на высоте, тематичный и очень уютный интерьер, наиувкуснейшее пиво, вкусные закуски!Вообщем обязательно вернемся снова",4,13 декабря 2017 г.
51,0,"Бар местная достопримечательность) Ирландский стиль и интерьеры. Много пива (хотя если честно никогда не была его фанатом, но здесь понравилось). Вкусные пироги и мясо.",1,13 декабря 2017 г.
52,0,"Чудесное место с уютной атмосферой. Пиво наисвежайшее, а какие стейки и салаты. Я в восторге. Спасибо и однозначно рекомендую.",1,25 ноября 2017 г.
53,0,"Заведение с классическим интерьером паба. Ценник выше среднего-своеобразный фильтр для ненужной публики. Немноголюдно, тихо, транслируют футбол... Классика жанра! Guinnes на кране жидковат как-то, пивали и получше. Перепутали блюда, принесли не то, запутались с чеками (не извинились). Официантки неравнодушны только к мужчинам)))) Еда свежая, вполне вкусно. Но никого не интересует-понравилось/не понравилось... На мой взгляд, нужно подтянуть обслуживание)",1,22 ноября 2017 г.
54,0,"Всем пивникам туда) то что нужно. Попить пивка, покушать и потрещать в атмосферном месте, что может быть лучше. Что меню, что барная карта, достойно. ",1,16 ноября 2017 г.
55,0,"Хороший паб с ирландским пивом, еда найдется на любой вкус, официанты чуткие и оперативные что не мало важно на мой вкус, единственный минус (который для многих наверняка плюс) громкая живая музыка. В целом, рекомендую для посещения)",1,12 ноября 2017 г.
56,0,"Вкусное пиво, приемлемые закуски под пиво. нормальная атмосфера, чтобы смотреть футбол или любые другие спортивные трансляции...впрочем там частенько играют на playstation...",1,11 ноября 2017 г.
57,0,"Внутри красиво, аутентично. Состав меню неплохой, но порции до обидного маленькие. Если ребята хотят равняться на Европу, используя в названии ""Дублин"" - тогда должны в первую очередь перестать мелочно экономить на граммах. Для Липецка цены совершенно неадекватные. Это уровень Питерского паба где-нибудь на Невском. Более того: в настоящем ирландском Дублине можно за тот же чек наесться и упиться вдвоем. Однако если вам не хочется уезжать за пределы Липецка, неадекватно высокие цены не являются проблемой, а хочется выпить неплохого пива - можно сходить. Хотя в пивную карту хозяевам надо бы расширять. В Ирландии в пабах больше пьют пива, а не сидра.",0,6 ноября 2017 г.
58,0,"Были 2 раза, скудное меню, выбора блюд практически нет, поэтому если хотите поужинать, то не здесь. Тут можно провести вечер с друзьями , выпить вкусного пива. Дорого. Подача блюд неплохая, но цена не соответствует. Так что решать вам. Мы не в восторге. ",1,20 октября 2017 г.
59,0,"Нормальное место: интерьер в духе стиля, пивная карта в порядке, выбор блюд тоже.Не стал брать пироги-долго готовить. Взял мясо. Его тупо разогрели в печке, при чем не очень хорошо. Приду ли еще раз? - да. Но только попить пива. Есть предпочту в другом месте.",3,6 октября 2017 г.
60,0,"я люблю ""Дублин"", всегда отличное пиво, и есть новинки, вкусная еда, приветливые официанты и быстрое обслуживание. Чистые туалеты, что тоже является одним из аспектов уровня заведения...Держат марку, молодцы...По выходным приглашают группы, живая музыка в стиле заведения всегда поднимает настроение...Часто прихожу со своими итальянскими друзьями, официанты с хорошим уровнем английского, посему выбрать что-то не проблема для иностранцев.",1,3 октября 2017 г.
61,0,"Грустно, уныло... пусто. В меня постоянно чего-то нет. Порции такие, дегустационные. Ничем не примечательное место с темным залом ",3,14 сентября 2017 г.
62,0,Неплохой выбор пива. Невысокие цены. Приятное обслуживание. Кормят вкусно. Местонахождение рядом с центром. От гостиницы меркюр 10 минут пешком. ,0,13 августа 2017 г.
63,0,"кухня европейская, меню не бюджетное, продукты позиционируют как привезенные из Ирландии в чем очень сомневаюсь. яблочный сидр похож на кислый яблочный сок. сцены нет , под музыкантов выделен небольшой уголок",2,9 августа 2017 г.
64,0,"Бывая проездом в каком-либо городе, ищем заранее заведение, где и мне и мужу будет приятно провести время. В Липецке решили заехать в Dublin- не пожалели. Интерьер располагает к намеченным планам на ужин. Меня порадовал выбор морепродуктов-мужа -наличие Гиннесса (кстати для дам - в этом пиве меньше каллорий, чем в обезжиренном молоке))) Открыли для себя новый сорт Харп-понравилось все.",0,28 июня 2017 г.
65,0,"В июне первый раз оказалась в этом пабе, была проездом в Липецке на выходных. Пошла, потому что в этот день там выступала группа Mohave. Вечер получился незабываемый: музыка действительно была отличная, и не менее хорошим было обслуживание, еда и пиво. Сама атмосфера заведения очень дружелюбная и свободная. Все люди приветливые как на подбор. Обязательно приду еще:)",0,24 июня 2017 г.
66,0,"Чисто, 《цивильно》. Советую немецкое пиво. Закуски пивные, обстановка соответствует статусу. Нам понравилось, но не дешево...",1,23 мая 2017 г.
67,0,"Не дешевое место, и казалось бы предназначенное для того, чтобы попить пива с закусками. Но побывав в других такого же уровня заведениях понимаешь, что цены здесь не такие уж и заоблачные и ставят их за дело. Качественное пиво, свежие и вкусные закуски к нему. Но отдельно хочется поблагодарить кухню, особенно хорош стейк из говядины. Хочу обедать только там. Именно из-за кухни это заведение перестаёт быть просто пабом, а становится хорошим рестораном, по моему мнению.",4,28 апреля 2017 г.
68,0,"Все хорошо и вкусно, Пиво и кухня очень понравились, Официанты молодцы, Место удобно расположен, рядом с центром Одно Но это цены,",0,5 марта 2017 г.
69,0,"Захаживаю с друзьями в этот пивной паб и всегда ухожу удовлетворенная: кухней, напитками, атмосферой.Прекрасное место для дружеских посиделок, да и вдвоем здесь всегда комфортно. Пару раз попадали на живую музыку и могу сказать, что гиннес и бургеры в это время особенно вкусные )Всем рекомендую!",1,15 февраля 2017 г.
70,0,"Практически правильный паб в городе Липецке. Правильная атмосфера, не идеально чисто, но паб и должен быть таким. Кроме пива брали шампанское, всё холодненькое. Закуски обычные. Вот только в отличии от дублинских пабов здесь никто не пьёт стоя у бара. ",0,9 января 2017 г.
71,0,"Иногда бываем здесь с друзьями. Большой компанией не пробовали, а вот по 2-5 человек можно посидеть очень уютно. Пиво хорошее, закуска соответствующая. Цены средние по городу.",0,6 января 2017 г.
72,0,"Были здесь на раннем ужине. Пиво очень вкусное и многих видов - пробовал пару сортов, которые никогда ранее нигде не видел. 5 баллов!Кухня хорошая, но выход блюд небольшой и ценник на все столичный.Посадка в заведении не очень удобная, мало полуприватных зон, присущих классическим пабам - скорее всего экономили пространство.",0,4 января 2017 г.
73,0,"Без преукрас скажу что, на мой взгляд, одно из лучших мест в городе! в своем сегменте конечно. И нет смысла выделять достоинства т.к здесь все, более чем достойно! Радует обслуживание персонала!, ребятам особенный плюсик!!! Кухня супер! Интерьер ну и программа всегда радует! Все очень здорово и как то душевно )))",0,22 ноября 2016 г.
74,0,"Довольно неплохой паб, где даже вполне сносно говорят на английском языке, что порадовало нашего британского коллегу. Мы заказывали сырную тарелку с вкуснейшими сырами, включая камамбер и дорблю, рыбную тарелку с наивкуснейшей подкопченой масляной рыбой, лососем и кальмаром. В качестве основного блюда брали стейк из мраморной говядины(дороговато-1600₽ за 240гр), лосось ев гриле с овощами и ногу ягнёнка. Все было очееень вкусно и сочно. Пиво- Leffe моё любимое различное - зачёт! Выбор вина очень маленький, но оно и понятно, ведь мы пришли в ирландский паб. В целом, прекрасное место!",0,22 ноября 2016 г.
75,0,"Посетили паб по приглашению друзей, находясь у них в гостях. Очень понравился дизайн помещения. Пиво выше всех похвал. К сожалению такого заведения с таким выбором и качеством элей и пива в нашем городе нет((( Не понравился стейк, но несмотря на это прикаждом посещении города в этот паб заходили бы.",0,7 октября 2016 г.
76,0,"Атмосферный паб в подвале в двадцати минутах ходьбы от центра города. Отличное пиво и вкусно приготовленные блюда. Живая музыка. Есть танцпол. В день посещения праздновали день рождения Артура Гиннеса, с конкурсами, подарками и веселой атмосферой праздника. ",2,28 сентября 2016 г.
77,0,"Встретились с друзьями. Вкусно покушали и отлично провели время. Уютно, неплохое обслуживание для Липецка) ",0,17 сентября 2016 г.
78,0,"Не очень комфортно оформлено меню. Название блюд на английском. Но блюда интересные. Пиво дорогое (стоит в 3 раза больше, чем в других пивных барах в Липецке), но в других барах нет Guinness. По выходным выступают музыканты. ",0,21 августа 2016 г.
79,0,"Была тут уже 3 раза. Очень нравится обстановка, оформление. Хорошее пиво и отличные креветки-рекомендую.",0,12 августа 2016 г.
80,0,"Одно из самых любимых и приличных мест в Липецке. Всегда много иностранцев, уютная атмосфера, очень вкусное пиво, ни одно из блюд,не разочаровало, по выходным живая музыка, комфортно,уютно,приятно! Дороговато,конечно,но за комфорт и заплатить не жалко! Очень хочется,чтобы данное заведение не испортилось,как многие другие!",2,10 августа 2016 г.
81,0,"Заходили отметить день рождения моего знакомого по моему же совету, хотя до этого момента я там ни разу не была. Как любитель подобных заведений (пабов с ирландским флёром :))) хочу сказать, что это заведение оправдало мои ожидания! Вкусная еда, хороший выбор пива. Единственно, мне кажется, цены несколько завышены. А в целом, хорошее место!",1,4 августа 2016 г.
